user_id,task_name,date,start_iso,end_iso
id,zadacha_1,20.11.2023,2023-11-20T12:00:00,2023-11-21T12:00:00
id,zadacha_1,21.11.2023,2023-11-21T12:00:00,2023-11-22T12:00:00
id,zadacha_2,20.11.2024,2023-11-20T15:00:00,2023-11-21T12:10:00
id,zadacha_2,21.11.2025,2023-11-21T11:00:00,2023-12-13T23:54:04
id,zadacha_5,14.12.2023,2023-12-14T11:49:14.810566,2023-12-14T16:49:14.810566
id,zadacha_6,15.12.2023,2023-12-15T11:49:14.810566,2023-12-15T16:49:14.810566
id,zadacha_7,16.12.2023,2023-12-16T11:49:14.810566,2023-12-16T16:49:14.810566
id,zadacha_8,17.12.2023,2023-12-17T11:49:14.810566,2023-12-17T16:49:14.810566
id,zadacha_9,18.12.2023,2023-12-18T11:49:14.810566,2023-12-18T16:49:14.810566
id,zadacha_10,19.12.2023,2023-12-19T11:49:14.810566,2023-12-19T16:49:14.810566
id,zadacha_3,21.11.2025,2023-11-21T11:00:00,2023-12-13T23:54:04
id,zadacha_3,21.11.2025,2023-11-21T11:00:00,2023-12-13T23:54:04
id,zadacha_3,21.11.2025,2023-11-21T11:00:00,2023-12-13T23:54:04
